Entry,Sample_IP,PTR,ASN,ASN_Desc,Owner,Abuse_Score,Abuse_Reports,Abuse_Last_Reported,Usage_Type,Abuse_Domain
34.156.137.162/32,34.156.137.162,162.137.156.34.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",GOOGL-2,98,155,2026-07-22T06:00:03+00:00,Data Center/Web Hosting/Transit,google.com
36.255.33.178/32,36.255.33.178,(no PTR),9541,"CYBERNET-AP - Cyber Internet Services (Pvt) Ltd., PK",CYBERNET-PK,100,123,2026-08-08T16:00:03+00:00,Fixed Line ISP,cyber.net.pk
43.155.157.239/32,43.155.157.239,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,594,2026-08-08T11:57:41+00:00,Data Center/Web Hosting/Transit,apnic.net
43.157.191.20/32,43.157.191.20,(no PTR),132203,"TENCENT-NET-AP-CN - Tencent Building, Kejizhongyi Avenue, CN",ACEVILLEPTELTD-SG,100,608,2026-08-08T18:42:22+00:00,Data Center/Web Hosting/Transit,apnic.net
44.220.188.99/32,44.220.188.99,scanner-44-220-188-99.reposify.net,14618,"AMAZON-AES - Amazon.com, Inc., US",AMAZON-IAD,56,51,2026-08-08T00:15:04+00:00,Data Center/Web Hosting/Transit,amazon.com
45.33.75.189/32,45.33.75.189,45-33-75-189.ip.linodeusercontent.com,63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",LINODE,11,2,2026-07-22T05:09:02+00:00,Data Center/Web Hosting/Transit,linode.com
45.55.153.86/32,45.55.153.86,03d01511.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-45-55-0-0,100,847,2026-08-08T20:09:41+00:00,Data Center/Web Hosting/Transit,digitalocean.com
45.55.158.168/32,45.55.158.168,0e3466e2.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-45-55-0-0,100,853,2026-08-08T20:04:58+00:00,Data Center/Web Hosting/Transit,digitalocean.com
45.55.185.224/32,45.55.185.224,28fe9ff7.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-45-55-0-0,100,845,2026-08-08T19:58:10+00:00,Data Center/Web Hosting/Transit,digitalocean.com
45.55.186.92/32,45.55.186.92,5818796c.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-45-55-0-0,100,813,2026-08-08T20:29:46+00:00,Data Center/Web Hosting/Transit,digitalocean.com
45.79.183.86/32,45.79.183.86,(no PTR),63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",LINODE,0,2,2026-05-21T22:40:14+00:00,Data Center/Web Hosting/Transit,linode.com
45.156.129.107/32,45.156.129.107,sh-chi-us-gp6-wk101c.internet-census.org,211680,"AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT",INAP-CHI-1,100,762,2026-08-08T19:55:11+00:00,Data Center/Web Hosting/Transit,bitsight.com
45.156.129.108/32,45.156.129.108,sh-chi-us-gp6-wk101d.internet-census.org,211680,"AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT",INAP-CHI-1,100,753,2026-08-08T19:55:13+00:00,Data Center/Web Hosting/Transit,bitsight.com
45.198.224.5/32,45.198.224.5,(no PTR),215925,"VPSVAULTHOST - VPSVAULT.HOST LTD, GB",,100,27422,2026-08-08T15:56:47+00:00,Data Center/Web Hosting/Transit,vpsvault.host
45.225.135.21/32,45.225.135.21,(no PTR),64107,"AS64107 - RACK SPHERE HOSTING S.A., PA",45.225.135.0 - 45.225.135.255,100,1406,2026-08-08T21:31:00+00:00,Data Center/Web Hosting/Transit,racksphere.io
47.84.0.0/16,47.84.0.0,(no PTR),45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",AL-3,0,0,Never,Data Center/Web Hosting/Transit,alibaba-inc.com
47.251.76.220/32,47.251.76.220,(no PTR),45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",ALIBABA CLOUD - US,100,627,2026-08-08T21:04:13+00:00,Data Center/Web Hosting/Transit,alibabacloud.com
59.55.114.14/32,59.55.114.14,(no PTR),4134,"CHINANET-BACKBONE - No.31,Jin-rong Street, CN",CHINANET-JX,29,6,2026-07-23T22:22:33+00:00,Fixed Line ISP,online.jx.cn
61.19.69.203/32,61.19.69.203,(no PTR),9931,"NTPCL-AS-AP - National Telecom Public Company Limited, TH",CAT-ISP-NET,100,3526,2026-08-08T16:00:11+00:00,Fixed Line ISP,ntplc.co.th
64.227.99.138/32,64.227.99.138,c5dbe0f1.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-64-227-0-0,100,856,2026-08-08T19:30:27+00:00,Data Center/Web Hosting/Transit,digitalocean.com
64.227.108.146/32,64.227.108.146,37a95379.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-64-227-0-0,100,833,2026-08-08T20:05:16+00:00,Data Center/Web Hosting/Transit,digitalocean.com
64.227.109.89/32,64.227.109.89,fe71b7ca.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-64-227-0-0,100,830,2026-08-08T14:59:57+00:00,Data Center/Web Hosting/Transit,digitalocean.com
64.227.110.161/32,64.227.110.161,1698d28f.tidalcoinage.internet-measurement.com,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",DIGITALOCEAN-64-227-0-0,100,819,2026-08-08T19:11:04+00:00,Data Center/Web Hosting/Transit,digitalocean.com
66.132.172.111/32,66.132.172.111,111.172.132.66.censys-scanner.com,398324,"CENSYS-ARIN-01 - Censys, Inc., US",CENSY,100,2095,2026-08-08T21:03:54+00:00,Data Center/Web Hosting/Transit,censys.com
66.132.186.204/32,66.132.186.204,204.186.132.66.censys-scanner.com,398324,"CENSYS-ARIN-01 - Censys, Inc., US",CENSY,100,2149,2026-08-08T19:56:55+00:00,Data Center/Web Hosting/Transit,censys.com
66.228.42.204/32,66.228.42.204,66-228-42-204.ip.linodeusercontent.com,63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",LINODE,100,1027,2026-08-08T21:07:42+00:00,Data Center/Web Hosting/Transit,linode.com
66.240.223.240/32,66.240.223.240,pdcscan5.scanning.cybcube.com,10439,"CARINET - CariNet, Inc., US",NET-26,100,3462,2026-08-08T03:00:24+00:00,Data Center/Web Hosting/Transit,cari.net
69.164.211.118/32,69.164.211.118,(no PTR),63949,"AKAMAI-LINODE-AP - Akamai Connected Cloud, SG",LINODE,17,4,2026-07-21T19:19:41+00:00,Data Center/Web Hosting/Transit,linode.com
74.235.100.212/32,74.235.100.212,azpdes7yclie.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",BLS-74-235-0-0-1003020949,100,1543,2026-08-08T21:04:25+00:00,Data Center/Web Hosting/Transit,microsoft.com
74.249.128.83/32,74.249.128.83,azpdcsn332nk.stretchoid.com,8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",MSFT,100,1482,2026-08-08T20:04:37+00:00,Data Center/Web Hosting/Transit,microsoft.com
77.91.71.4/32,77.91.71.4,mail.rapo.ru,211486,"AAA-AS - Alferov Aleksey Aleksandrovich, RU",NEW,100,140,2026-08-07T00:02:00+00:00,Data Center/Web Hosting/Transit,chsl.one
77.91.71.5/32,77.91.71.5,(no PTR),211486,"AAA-AS - Alferov Aleksey Aleksandrovich, RU",NEW,100,172,2026-08-07T00:02:02+00:00,Data Center/Web Hosting/Transit,chsl.one
78.153.140.40/32,78.153.140.40,(no PTR),202306,"HOSTGLOBALPLUS-AS - HOSTGLOBAL.PLUS LTD, GB",HostGlobalPlus,100,1080,2026-08-08T05:57:44+00:00,Data Center/Web Hosting/Transit,hostglobal.plus
78.153.140.50/32,78.153.140.50,(no PTR),202306,"HOSTGLOBALPLUS-AS - HOSTGLOBAL.PLUS LTD, GB",HostGlobalPlus,100,746,2026-08-08T18:28:14+00:00,Data Center/Web Hosting/Transit,hostglobal.plus
80.82.64.25/32,80.82.64.25,(no PTR),202425,"INT-NETWORK - IP Volume inc, SC",NET-1-64,100,142,2026-08-08T05:01:58+00:00,Data Center/Web Hosting/Transit,fiberxpress.net
80.82.77.202/32,80.82.77.202,rnd.group-ib.com,202425,"INT-NETWORK - IP Volume inc, SC",NET-1-77,100,4848,2026-08-08T21:26:40+00:00,Data Center/Web Hosting/Transit,fiberxpress.net
80.87.206.103/32,80.87.206.103,(no PTR),16276,"OVH - OVH SAS, FR",DedicatedVPSprovider,100,895,2026-08-08T15:56:53+00:00,Data Center/Web Hosting/Transit,allianceorg.com
89.248.172.11/32,89.248.172.11,no-reverse-dns-configured.com,202425,"INT-NETWORK - IP Volume inc, SC",NET-2-172,100,4446,2026-08-08T21:33:57+00:00,Data Center/Web Hosting/Transit,fiberxpress.net
91.92.242.19/32,91.92.242.19,(no PTR),202412,"OMEGATECH-AS - Omegatech LTD, SC",OMEGATECH,61,21,2026-07-29T17:41:26+00:00,Fixed Line ISP,omegatech.sc
92.118.39.202/32,92.118.39.202,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3240,2026-08-08T18:00:03+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.203/32,92.118.39.203,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3124,2026-08-08T15:33:12+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.204/32,92.118.39.204,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3136,2026-08-08T19:38:10+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.205/32,92.118.39.205,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3149,2026-08-08T19:50:40+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.209/32,92.118.39.209,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3101,2026-08-08T17:34:50+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.210/32,92.118.39.210,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3287,2026-08-08T20:10:57+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.211/32,92.118.39.211,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3133,2026-08-08T12:57:11+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.212/32,92.118.39.212,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3109,2026-08-08T19:42:21+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.213/32,92.118.39.213,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3145,2026-08-08T12:57:12+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.214/32,92.118.39.214,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3132,2026-08-08T19:58:15+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.223/32,92.118.39.223,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3316,2026-08-08T21:04:56+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.224/32,92.118.39.224,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3318,2026-08-08T21:10:09+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.225/32,92.118.39.225,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3310,2026-08-08T21:10:41+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.227/32,92.118.39.227,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3329,2026-08-08T21:09:44+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.228/32,92.118.39.228,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3436,2026-08-08T21:07:57+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.229/32,92.118.39.229,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3315,2026-08-08T21:08:48+00:00,Data Center/Web Hosting/Transit,dmzhost.co
92.118.39.231/32,92.118.39.231,(no PTR),47890,"UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB",DMZHOST,100,3335,2026-08-08T21:09:58+00:00,Data Center/Web Hosting/Transit,dmzhost.co
